case_id,text,sender,receiver,expected_risk,predicted_risk,correct,category,confidence,explanation,rewrite
1,Send me the report now.,american,japanese,high,high,True,directness,0.8157692307692308,"This message may appear too direct for Japanese culture, where indirect communication is preferred. The tone may be too informal for Japanese culture, which values formal communication. In Japanese culture, commands should be phrased more respectfully to acknowledge hierarchy.",I would be most grateful if you could Send me the report now. Thank you for your consideration.
2,Could you please send the report when convenient?,american,japanese,low,low,True,polite_request,0.6369230769230769,"In Japanese culture, commands should be phrased more respectfully to acknowledge hierarchy.",Could you please send the report when convenient? at your earliest convenience? I would greatly appreciate it.
3,This approach is wrong. Fix it immediately.,german,indian,high,medium,False,criticism,0.7628571428571428,"This message may appear too direct for Indian culture, where indirect communication is preferred. The tone may be too informal for Indian culture, which values formal communication. In Indian culture, commands should be phrased more respectfully to acknowledge hierarchy.",I would be most grateful if you could This approach is wrong. Fix it immediately. Thank you for your consideration.
4,Perhaps we could consider an alternative approach to this task.,german,indian,low,medium,False,suggestion,0.6923076923076923,Minor cultural differences detected - message should be generally acceptable.,Perhaps we could consider an alternative approach to this task.
5,I humbly request that you might possibly consider reviewing this document if it's not too much trouble.,japanese,american,medium,high,False,over_polite,0.8117647058823529,Minor cultural differences detected - message should be generally acceptable.,Please I humbly request that you might possibly consider reviewing this document if it's not too much trouble.
6,Please review this document by Friday.,japanese,american,low,low,True,appropriate,0.6773076923076923,Minor cultural differences detected - message should be generally acceptable.,Please review this document by Friday.
7,I was wondering if you might possibly be able to help with this rather challenging task when you have a spare moment.,british,german,medium,high,False,too_indirect,0.8286713286713286,Minor cultural differences detected - message should be generally acceptable.,Please I was wondering if you might possibly be able to help with this rather challenging task when you have a spare moment.
8,Please help with this task.,british,german,low,low,True,direct_request,0.6761538461538461,Minor cultural differences detected - message should be generally acceptable.,Please help with this task.
9,"Sir, I most respectfully request your kind consideration for my humble proposal.",indian,american,medium,medium,True,over_formal,0.7153846153846153,Minor cultural differences detected - message should be generally acceptable.,"Please Sir, I most respectfully request your kind consideration for my humble proposal."
10,I'd like to propose this idea for your consideration.,indian,american,low,high,False,professional,0.7846153846153846,Minor cultural differences detected - message should be generally acceptable.,Please I'd like to propose this idea for your consideration.
11,Your work is acceptable.,german,american,medium,high,False,understated_praise,0.7846153846153846,Minor cultural differences detected - message should be generally acceptable.,Please Your work is acceptable.
12,Excellent job on this project!,american,german,low,high,False,direct_praise,0.8076923076923077,Minor cultural differences detected - message should be generally acceptable.,Please Excellent job on this project!.
13,I need this ASAP.,american,japanese,high,medium,False,urgent_direct,0.7696153846153846,"This message may appear too direct for Japanese culture, where indirect communication is preferred. The tone may be too informal for Japanese culture, which values formal communication. In Japanese culture, commands should be phrased more respectfully to acknowledge hierarchy.",I would be most grateful if you could I need this ASAP. Thank you for your consideration.
14,"When you have time, could you prioritize this task?",american,japanese,low,low,True,urgent_polite,0.6717948717948717,Minor cultural differences detected - message should be generally acceptable.,"When you have time, could you prioritize this task?"
15,This is completely wrong.,american,indian,high,medium,False,harsh_criticism,0.7384615384615384,Minor cultural differences detected - message should be generally acceptable.,This is completely wrong.
16,There might be room for improvement in this approach.,american,indian,low,medium,False,gentle_feedback,0.7128205128205127,Minor cultural differences detected - message should be generally acceptable.,There might be room for improvement in this approach.
